代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,4月YoY%,4月MoM%,5月YoY%,5月MoM%
6870,騰雲,上櫃,數位雲端,318.0,38.1,51.2,332.0,27.3,81.45,5.11,56.14,3.08
5289,宜鼎,上櫃,電腦及週邊設備業,1715.0,8.7,119.9,2025.0,26.7,583.11,17.6,640.8,13.39
4916,事欣科,上市,電腦及週邊設備業,115.0,33.4,79.5,127.5,25.1,50.22,5.37,104.34,6.05
5425,台半,上櫃,半導體業,133.5,53.2,111.6,143.0,24.5,2.6,2.34,11.8,7.64
1409,新纖,上市,紡織纖維,28.2,35.7,75.2,30.3,23.3,25.05,3.39,35.13,7.22
6548,長科*,上櫃,半導體業,90.6,36.8,94.4,104.0,22.4,24.51,4.27,36.65,3.28
6138,茂達,上櫃,半導體業,418.5,41.2,77.9,422.0,21.2,13.83,1.18,15.41,0.51
7610,聯友金屬-創,上市,綠能環保,2495.0,96.5,476.8,2545.0,20.4,345.32,20.89,462.17,9.87
6525,捷敏-KY,上市,半導體業,166.5,48.5,99.5,173.5,19.3,18.29,9.04,18.95,1.64
6693,廣閎科,上櫃,半導體業,255.0,54.5,164.1,262.0,18.1,85.69,5.68,115.16,4.6
1714,和桐,上市,化學工業,20.7,70.9,121.8,20.7,17.6,71.71,13.71,84.84,9.24
2359,所羅門,上市,其他電子業,146.5,14.0,11.3,153.0,17.3,20.73,27.86,66.8,47.19
2399,映泰,上市,電腦及週邊設備業,51.5,14.4,82.1,57.5,17.2,21.89,34.67,48.24,7.66
6944,兆聯實業,上市,綠能環保,1010.0,6.8,45.6,1115.0,15.0,32.08,0.28,48.22,10.15
2449,京元電子,上市,半導體業,347.5,14.8,49.3,353.5,14.0,34.55,4.03,36.61,0.9
2436,偉詮電,上市,半導體業,76.2,9.1,38.4,79.17,14.0,30.47,11.08,26.11,1.67
8091,翔名,上櫃,半導體業,286.5,27.4,99.6,291.0,13.4,35.25,6.75,82.23,10.11
2441,超豐,上市,半導體業,142.0,26.1,69.0,146.5,12.6,13.19,0.94,20.91,4.78
2404,漢唐,上市,其他電子業,1385.0,24.7,43.1,1450.0,11.4,102.22,5.38,85.01,13.7
6197,佳必琪,上市,電子零組件業,363.5,41.0,104.4,376.85,10.5,5.25,12.35,41.77,0.1
